date,kospi,total_jo,samsung_pct,hynix_pct,sum_pct,n_stocks,method
2025-11-03,4221.87,3464.1,18.75,13.074,31.825,1227,full
2025-11-04,4121.74,3379.4,18.147,12.667,30.814,1227,full
2025-11-05,4004.42,3281.6,17.922,12.889,30.811,1227,full
2025-11-06,4026.45,3298.3,17.583,13.133,30.717,1227,full
2025-11-07,3953.76,3239.0,17.671,13.081,30.751,1227,full
2025-11-10,4073.24,3335.8,17.631,13.271,30.902,1227,full
2025-11-11,4106.39,3364.3,17.985,13.44,31.426,1227,full
2025-11-12,4150.39,3399.0,17.733,13.26,30.994,1227,full
2025-11-13,4170.63,3416.4,17.592,13.086,30.677,1227,full
2025-11-14,4011.57,3284.9,17.299,12.453,29.752,1227,full
2025-11-17,4089.25,3349.4,17.559,13.216,30.776,1227,full
2025-11-18,3953.62,3237.9,17.658,12.859,30.518,1227,full
2025-11-19,3929.51,3217.8,17.533,12.758,30.291,1227,full
2025-11-20,4004.85,3280.0,17.931,12.717,30.647,1227,full
2025-11-21,3853.26,3155.9,17.562,12.06,29.622,1227,full
2025-11-24,3846.06,3149.6,17.95,12.061,30.01,1227,full
2025-11-25,3857.78,3163.1,18.353,11.986,30.339,1227,full
2025-11-26,3960.87,3247.1,18.509,11.788,30.297,1227,full
2025-11-27,3986.91,3265.9,18.528,12.168,30.695,1227,full
2025-11-28,3926.59,3216.0,18.269,12.038,30.308,1227,full
2025-12-01,3920.37,3212.7,18.343,12.233,30.576,1231,full
2025-12-02,3994.93,3272.7,18.471,12.455,30.926,1232,full
2025-12-03,4036.3,3303.5,18.494,12.206,30.7,1232,full
2025-12-04,4028.51,3298.1,18.63,12.005,30.635,1232,full
2025-12-05,4100.05,3357.8,18.874,11.835,30.708,1232,full
2025-12-08,4154.85,3402.2,18.816,12.389,31.205,1232,full
2025-12-09,4143.55,3392.4,18.681,12.188,30.869,1232,full
2025-12-10,4135.0,3385.9,18.648,12.664,31.312,1232,full
2025-12-11,4110.62,3366.4,18.634,12.26,30.895,1232,full
2025-12-12,4167.16,3410.9,18.665,12.229,30.894,1232,full
2025-12-15,4090.59,3347.8,18.301,12.088,30.39,1233,full
2025-12-16,3999.13,3272.8,18.363,11.83,30.193,1233,full
2025-12-17,4056.41,3323.2,18.982,12.112,31.094,1233,full
2025-12-18,3994.51,3271.6,19.228,12.325,31.553,1233,full
2025-12-19,4020.55,3293.5,18.87,12.133,31.002,1233,full
2025-12-22,4105.93,3363.9,19.204,12.595,31.799,1233,full
2025-12-23,4117.32,3373.7,19.322,12.645,31.967,1233,full
2025-12-24,4108.62,3366.8,19.292,12.758,32.05,1233,full
2025-12-26,4129.68,3384.3,20.211,12.929,33.141,1233,full
2025-12-29,4220.56,3457.2,20.208,13.523,33.731,1233,full
2025-12-30,4214.17,3451.1,20.311,13.78,34.091,1233,full
2026-01-02,4309.63,3531.9,21.271,14.002,35.273,1233,full
2026-01-05,4457.52,3656.3,22.081,13.905,35.987,1233,full
2026-01-06,4525.48,3711.5,21.879,14.289,36.168,1233,full
2026-01-07,4551.06,3733.5,22.079,14.518,36.597,1233,full
2026-01-08,4552.37,3732.9,21.738,14.794,36.532,1233,full
